time,x_filter,v_x_filter,y_filter,v_y_filter,yaw_filter,w_filter,x_ref,y_ref,yaw_ref,v_x_ref,v_y_ref,w_ref
1713795735.813,-0.456682747043348,-0.003130497272275151,-0.027209795105460483,-0.00018651939428034606,0.0,0.0,-0.007552609669720675,-0.003614441992445799,-0.03253587662343794,0.0017317349727834438,0.002249678761381433,-0.022751946629933146
1713795735.833,-0.4567013267006247,-0.0004218047275070624,-0.02721090195476653,-2.5139548697493234e-05,0.0,0.0,-0.007516087085788251,-0.003566786174356867,-0.03301189018075006,-0.015602688848408415,0.013206714382024531,0.1146634571644636
1713795735.853,-0.4567036008396681,5.1882989774673946e-05,-0.027994645013922313,-0.0015039346687343617,-2.1410957473182936e-05,-0.0006876567184358528,-0.008012439218898595,-0.0031881960749952382,-0.02925445306420449,-0.015087032766356851,0.01086887120753626,0.11772876072362128
1713795735.873,-0.456704601818455,-3.902118795176446e-05,-0.02821232887014089,-0.0001133798611834403,-2.6427337464313986e-05,-0.0005637754036552564,-0.007770453414029819,-0.0033839977631241495,-0.03095151602456983,0.02792356491482228,-0.02138734700255983,-0.20232890524902888
1713795735.893,-0.4567047252831515,-3.874850722418995e-05,-0.029106073366322264,-0.0004323692185499683,-5.2966159229990806e-05,-0.000905819350077172,-0.007504949678233109,-0.0035606148240187774,-0.03278564889233925,0.0014625846630603881,0.001103849868131072,-0.0048604937290453
1713795735.9129999,-0.4567009912209775,0.00018322864899468619,-0.02936123425363815,-0.00011647678065437644,-4.718830861873585e-05,-0.0006903429177987476,-0.007516491303888799,-0.0035200492179039635,-0.03277849267305671,-0.0026045539100536465,0.002083429353066337,0.0063258723763844685
1713795735.9329998,-0.4566965548403071,0.0003839208510295129,-0.03055813850872412,-0.0005904154437480598,-5.4587769755171866e-05,-0.0007433102953008275,-0.007596410867910961,-0.0035372883866252106,-0.03251611443825555,-0.0028346492817941274,-0.002616259154924328,0.014886824209882063
1713795735.9529998,-0.45673258220407204,-0.0010013154927915556,-0.03061881167486325,-0.000308655873805392,-4.648056257603694e-05,-0.0005573653847397638,-0.007537561419695771,-0.003569285302778641,-0.03238653355874026,0.004318527986047592,-0.0017463226659966851,0.00016759777593745645
1713795735.9729998,-0.4567350376964216,-0.0009468311002269962,-0.0316575076112248,-0.0008226366292777617,-7.403758085638099e-05,-0.0007903616408046573,-0.007510169926371798,-0.0036297868423742488,-0.03246587876089935,0.00010347487192303656,-0.001723352038592418,-0.0050935625760785835
1713795735.9929998,-0.45665320844275636,0.001633719099694935,-0.031658435333286286,-0.0005788347499123703,-6.210305038692693e-05,-0.0005827512760123533,-0.007516126130940547,-0.0035999331359533636,-0.032555228911501616,0.010361688330229492,-0.004014321883882257,-0.0008755552497307726
1713795736.0129998,-0.45662261000804427,0.002275889291240555,-0.032879786867237575,-0.001537827161920827,-5.998676756940237e-05,-0.0005372591160225394,-0.006853197240819048,-0.003980707432909312,-0.03243564548650942,0.025435702417390633,-0.014166423571695178,0.04490598823562686
1713795736.0329998,-0.45672436627464424,-0.0008453572907118076,-0.03288548142493123,-0.0009920052389143967,-5.077312895866248e-05,-0.00040502397302524947,-0.007554733372568465,-0.003477466273164273,-0.02967118140447536,-0.052447252801625606,0.03605124375883341,0.14275740165905046
1713795736.0529997,-0.4567321086430032,-0.0005997396261177137,-0.03427246606790285,-0.001612670996038713,-6.751340535848117e-05,-0.0005001471553500094,-0.00794147620067799,-0.0032197312356252892,-0.029666811802236782,0.01846416097176705,-0.013559791747586862,-0.16251617288709902
1713795736.0729997,-0.4566810302048896,0.0012657528980996595,-0.03455005763383881,-0.0006574111514620323,-6.840752989610223e-05,-0.00045915691401476606,-0.007513703818534692,-0.003546501993065386,-0.0327769521405278,0.008189047659396213,-0.008442131783905729,-0.06288747659518126
1713795736.0929997,-0.45667468466071826,0.0012244463788951823,-0.03557257162000001,-0.0016519692747220757,-9.867088287403335e-05,-0.000671471889346318,-0.007513982107074352,-0.0036116019206217584,-0.03286370527545333,0.0006861209143091323,-0.0010782272982341823,-6.061401059385182e-05
1713795736.1129997,-0.4567266909367289,-0.0012070128185792772,-0.03557977931157893,-0.0006460037043706753,-8.385268102324275e-05,-0.0005023778343706432,-0.007487667030663064,-0.0035940093145489928,-0.03278797937607184,-0.006197576336296899,0.005864603741551337,0.04937935944340429
1713795736.1329997,-0.4567362754401255,-0.0015646304017017717,-0.03801343015389216,-0.0012579623773422421,-0.00011484209177447052,-0.0007537424398282137,-0.007868307654741617,-0.0033064082521991143,-0.03024272897357148,-0.02027112888770106,0.01509374434145737,0.13381623550406074
1713795736.1529996,-0.4566653945182027,0.0018038638012653958,-0.04041669213222749,-0.0009649877882360921,-0.0001005445328326288,-0.0005249166565140289,-0.008101454556813341,-0.0031324759661471024,-0.028733280684767316,0.020164786315411434,-0.01493647382607094,-0.1400687370859252
1713795736.1729996,-0.4567539072935354,-0.0019374599936570708,-0.042943109356922624,-0.0015276235594663267,-9.319330233076154e-05,-0.0003872728649461043,-0.007657685478764347,-0.003460096319055421,-0.031653050502832146,-0.014705421745168,0.011210501587978091,0.1295041023418316
1713795736.1929996,-0.5233674969366511,0.0004932590168100373,-0.03298768590221276,-0.0011384764417586653,-9.299605213831031e-05,-0.0003302429664647391,-0.008020371305149907,-0.0032130008076428043,-0.028645147113172145,0.01202567416007394,-0.012703301348974353,-0.08311977081548333
1713795736.2129996,-0.5233988797450523,-0.0011768173481755172,-0.03358212429418306,-0.000514924438579905,-0.00010828817100936752,-0.00038939456428726377,-0.0075426123106872986,-0.0036508063490392497,-0.03224373067076958,0.00868186903634472,-0.007585787752736661,-0.07460111313498083
1713795736.2329996,-0.5233599427277111,0.0015934729153403537,-0.03451601672189367,-0.000662137569473585,-0.00011454425386564199,-0.0003698982083829454,-0.007551577014791215,-0.0036129334769162036,-0.03242380889760593,0.0017512428518489174,0.0031536549901272715,-0.015434354607840591
1713795736.2529995,-0.523454804804026,-0.0019035840586933905,-0.03573417827171225,-0.0018329923898844896,-0.00013229678922879924,-0.0004464520585258515,-0.007499660497883633,-0.0035476437641481463,-0.032792175397932846,0.0005984920349081497,0.0009437014841406194,-0.01420257376965645
1713795736.2729995,-0.5233539282563594,0.001468102201407087,-0.03629309999984335,-0.0021310130792785474,-0.00014464276926740255,-0.0004612116851705274,-0.007516201063402404,-0.0035617957909957767,-0.032990151198577435,-0.0007079052167250192,-0.0005512258951827309,-0.005561074991280147
1713795736.2929995,-0.5234327792495828,-0.000809808455516248,-0.03614580939916635,-0.002090585876859988,-0.00015650681879773442,-0.00048793578787220486,-0.007528164535252873,-0.0035699393806546127,-0.0330214586821497,-0.00031361285479955455,5.486162138263937e-05,0.0006872738875121551
1713795736.3129995,-0.5233673538117131,0.0012946451832624188,-0.03623093861203576,-0.0017772493125361548,-0.00016703077957265099,-0.0004989236975291298,-0.0075293602561182565,-0.0035605993996578513,-0.03296752629364545,0.00028511895365618137,0.0006585175768010102,0.0066067593111810985
