time,x_filter,v_x_filter,y_filter,v_y_filter,yaw_filter,w_filter,x_ref,y_ref,yaw_ref,v_x_ref,v_y_ref,w_ref
1713795735.813,-0.5630864075860076,-0.005839750882731703,0.00046179536573460675,4.7892647706623424e-06,0.0,0.0,-0.007552609669720675,-0.003614441992445799,-0.03253587662343794,0.0017317349727834438,0.002249678761381433,-0.022751946629933146
1713795735.833,-0.5631212387829532,-0.000786963245854957,0.0004618297221700714,6.457298629952685e-07,0.0,0.0,-0.007516087085788251,-0.003566786174356867,-0.03301189018075006,-0.015602688848408415,0.013206714382024531,0.1146634571644636
1713795735.853,-0.5631357095581417,-2.596192336625263e-05,-0.0004072688773803461,-0.0010531409964927457,-2.544896394491213e-05,-0.0005419852273907428,-0.008012439218898595,-0.0031881960749952382,-0.02925445306420449,-0.015087032766356851,0.01086887120753626,0.11772876072362128
1713795735.873,-0.563137489335211,-9.839587087523992e-06,-0.0006890650308862237,-8.071596878254083e-05,-3.088071843699115e-05,-0.00048640930457966383,-0.007770453414029819,-0.0033839977631241495,-0.03095151602456983,0.02792356491482228,-0.02138734700255983,-0.20232890524902888
1713795735.893,-0.5631435568444619,-2.0041419782710167e-06,-0.001821195991945258,-0.00031293286945642697,-6.112034634663816e-05,-0.0008264988574633963,-0.007504949678233109,-0.0035606148240187774,-0.03278564889233925,0.0014625846630603881,0.001103849868131072,-0.0048604937290453
1713795735.9129999,-0.563144991627733,-6.195439532981954e-06,-0.0021780402168793227,-7.205667926126203e-05,-5.5136907401245155e-05,-0.0006414540258432006,-0.007516491303888799,-0.0035200492179039635,-0.03277849267305671,-0.0026045539100536465,0.002083429353066337,0.0063258723763844685
1713795735.9329998,-0.563150593284654,1.8764474027013224e-05,-0.0038614731359089124,-0.0003812665666112826,-6.386417175669816e-05,-0.0007055518788528924,-0.007596410867910961,-0.0035372883866252106,-0.03251611443825555,-0.0028346492817941274,-0.002616259154924328,0.014886824209882063
1713795735.9529998,-0.5631538592909551,-8.592088298661528e-05,-0.003959404928011636,-2.4934732523044713e-05,-5.560469855339072e-05,-0.0005320263902787929,-0.007537561419695771,-0.003569285302778641,-0.03238653355874026,0.004318527986047592,-0.0017463226659966851,0.00016759777593745645
1713795735.9729998,-0.5631598276334925,-0.00010500180298620465,-0.005762257261073667,-0.00031384908224045826,-8.453659748895414e-05,-0.0007705520590056251,-0.007510169926371798,-0.0036297868423742488,-0.03246587876089935,0.00010347487192303656,-0.001723352038592418,-0.0050935625760785835
1713795735.9929998,-0.5631450565750162,0.0003331650013937966,-0.005764653648368262,-4.505655555788157e-05,-7.244410635805969e-05,-0.0005687718865390102,-0.007516126130940547,-0.0035999331359533636,-0.032555228911501616,0.010361688330229492,-0.004014321883882257,-0.0008755552497307726
1713795736.0129998,-0.5631327052142788,0.0007142482158666609,-0.008059858186893414,-0.0004651341367856745,-7.062373674144132e-05,-0.0005271397889972163,-0.006853197240819048,-0.003980707432909312,-0.03243564548650942,0.025435702417390633,-0.014166423571695178,0.04490598823562686
1713795736.0329998,-0.5631771256802676,-0.0003564009059614276,-0.008064208865631537,-0.00044170285358103895,-6.141827380220045e-05,-0.00039750803704746533,-0.007554733372568465,-0.003477466273164273,-0.02967118140447536,-0.052447252801625606,0.03605124375883341,0.14275740165905046
1713795736.0529997,-0.5631973749639125,-0.0004937793799322939,-0.010814323347217603,-0.0009497000920514717,-7.849744954040225e-05,-0.0004952080378869068,-0.00794147620067799,-0.0032197312356252892,-0.029666811802236782,0.01846416097176705,-0.013559791747586862,-0.16251617288709902
1713795736.0729997,-0.5631667858434146,0.00042819596072306775,-0.011439603977371737,-0.00031842420387855964,-7.945107297152857e-05,-0.00045549842159191517,-0.007513703818534692,-0.003546501993065386,-0.0327769521405278,0.008189047659396213,-0.008442131783905729,-0.06288747659518126
1713795736.0929997,-0.5631643212845309,0.0005424606740438999,-0.013704137205406168,-0.000772299841534704,-0.00010990689243744645,-0.0006686749838261247,-0.007513982107074352,-0.0036116019206217584,-0.03286370527545333,0.0006861209143091323,-0.0010782272982341823,-6.061401059385182e-05
1713795736.1129997,-0.5631815186149682,-0.0003551521985785068,-0.01370495478672106,-0.00020666594977798887,-9.50868100073996e-05,-0.0005002973426815213,-0.007487667030663064,-0.0035940093145489928,-0.03278797937607184,-0.006197576336296899,0.005864603741551337,0.04937935944340429
1713795736.1329997,-0.5631940289090553,-0.0007250002856727222,-0.018185239702378016,-0.0007848712808660799,-0.000126207505350144,-0.0007521878968817572,-0.007868307654741617,-0.0033064082521991143,-0.03024272897357148,-0.02027112888770106,0.01509374434145737,0.13381623550406074
1713795736.1529996,-0.5631735287814904,0.0008191308647064203,-0.022855374505214684,-0.000673290484825857,-0.00011192503764807293,-0.0005240705335953058,-0.008101454556813341,-0.0031324759661471024,-0.028733280684767316,0.020164786315411434,-0.01493647382607094,-0.1400687370859252
1713795736.1729996,-0.5632120738026046,-0.0009250339522543587,-0.02785784973333446,-0.0008817601251115062,-0.00010459033436537077,-0.00038680795952549283,-0.007657685478764347,-0.003460096319055421,-0.031653050502832146,-0.014705421745168,0.011210501587978091,0.1295041023418316
1713795736.1929996,-0.6232902975155509,0.000277067935804762,-0.04765033863135356,-0.0007260895349125899,-0.00010440660909738847,-0.00032997786142162366,-0.008020371305149907,-0.0032130008076428043,-0.028645147113172145,0.01202567416007394,-0.012703301348974353,-0.08311977081548333
