,time,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
0,1713795736.2517097,6.19,6.140000000000001,1.31,1.8900000000000001
1,1713795736.4560869,6.24,6.17,1.32,1.9100000000000001
2,1713795736.656138,6.21,6.13,1.31,1.8800000000000001
3,1713795736.8571281,6.15,6.09,1.29,1.87
4,1713795737.0497684,6.24,6.15,1.33,1.8800000000000001
5,1713795737.252603,6.22,6.13,1.34,1.8800000000000001
6,1713795737.455513,6.17,6.140000000000001,1.26,1.87
7,1713795737.6494899,6.19,6.12,1.27,1.9000000000000001
8,1713795737.851844,6.12,6.11,1.29,1.9000000000000001
9,1713795738.0454404,6.01,5.97,1.27,1.92
10,1713795738.2480736,5.84,5.84,1.26,1.9100000000000001
11,1713795738.4506857,5.67,5.76,1.33,1.9100000000000001
12,1713795738.6441574,5.61,5.63,1.35,1.87
13,1713795738.8463764,5.5600000000000005,5.49,1.47,1.86
14,1713795739.0466597,5.47,5.37,1.4000000000000001,1.95
15,1713795739.2478917,5.23,5.2700000000000005,1.58,1.97
16,1713795739.4401286,5.12,5.09,1.6,2.09
17,1713795739.6434345,5.09,5.04,1.6300000000000001,2.1
18,1713795739.8448448,5.09,5.07,1.6600000000000001,2.08
19,1713795740.0368922,5.05,5.14,1.67,2.08
20,1713795740.240198,5.0600000000000005,5.29,1.68,2.0
21,1713795740.4416158,5.16,5.08,1.68,2.02
22,1713795740.6344965,5.43,5.0,1.71,2.04
23,1713795740.8372428,4.8,4.9,1.77,2.11
24,1713795741.0384214,4.8500000000000005,4.88,1.8800000000000001,2.05
25,1713795741.241044,4.84,4.87,1.86,2.1
26,1713795741.434016,4.84,4.87,1.85,2.11
27,1713795741.6362085,4.84,4.9,1.83,2.11
28,1713795741.8295379,4.87,4.94,1.7,2.14
29,1713795742.0334408,4.82,5.0200000000000005,1.57,2.33
30,1713795742.2352693,4.78,5.09,1.44,2.54
31,1713795742.4275858,4.91,5.19,1.34,2.75
32,1713795742.6338952,4.78,5.19,1.31,2.8000000000000003
33,1713795742.8259003,4.76,5.14,1.23,2.85
34,1713795743.0292995,4.75,5.19,1.24,2.77
35,1713795743.2301161,4.74,5.2,1.28,2.8000000000000003
36,1713795743.4308417,4.8100000000000005,5.24,1.18,2.66
37,1713795743.624444,5.33,5.33,1.18,2.67
38,1713795743.8264463,5.3500000000000005,5.37,1.1300000000000001,2.59
39,1713795744.0272977,5.13,5.43,1.12,2.63
40,1713795744.2275681,5.05,5.47,1.1,2.68
41,1713795744.4200733,5.03,5.49,1.07,2.66
42,1713795744.623331,5.0200000000000005,5.47,1.11,2.7800000000000002
43,1713795744.8249605,5.0,5.46,1.08,2.7800000000000002
44,1713795745.0170183,4.99,5.47,1.08,2.77
45,1713795745.2206786,4.95,5.5,1.1400000000000001,2.7
46,1713795745.420677,4.98,5.45,1.06,2.72
47,1713795745.622218,5.0,5.49,1.11,2.71
48,1713795745.8142943,4.94,5.38,1.1,2.82
49,1713795746.0169787,4.84,5.2700000000000005,1.21,2.86
50,1713795746.218114,4.64,5.14,1.3800000000000001,2.92
51,1713795746.4191597,4.43,5.03,1.48,3.0100000000000002
52,1713795746.6133492,4.3,4.83,1.76,3.15
53,1713795746.8147073,4.04,4.75,1.9100000000000001,3.23
54,1713795747.0151663,3.89,4.57,2.0100000000000002,3.38
55,1713795747.2159517,3.71,4.51,2.31,3.46
56,1713795747.4082189,3.54,4.33,2.48,3.61
