,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
0,6.19,6.140000000000001,1.31,1.8900000000000001
1,6.24,6.17,1.32,1.9100000000000001
2,6.21,6.13,1.31,1.8800000000000001
3,6.15,6.09,1.29,1.87
4,6.24,6.15,1.33,1.8800000000000001
5,6.22,6.13,1.34,1.8800000000000001
6,6.17,6.140000000000001,1.26,1.87
7,6.19,6.12,1.27,1.9000000000000001
8,6.12,6.11,1.29,1.9000000000000001
9,6.01,5.97,1.27,1.92
10,5.84,5.84,1.26,1.9100000000000001
11,5.67,5.76,1.33,1.9100000000000001
12,5.61,5.63,1.35,1.87
13,5.5600000000000005,5.49,1.47,1.86
14,5.47,5.37,1.4000000000000001,1.95
15,5.23,5.2700000000000005,1.58,1.97
16,5.12,5.09,1.6,2.09
17,5.09,5.04,1.6300000000000001,2.1
18,5.09,5.07,1.6600000000000001,2.08
19,5.05,5.14,1.67,2.08
20,5.0600000000000005,5.29,1.68,2.0
21,5.16,5.08,1.68,2.02
22,5.43,5.0,1.71,2.04
23,4.8,4.9,1.77,2.11
24,4.8500000000000005,4.88,1.8800000000000001,2.05
25,4.84,4.87,1.86,2.1
26,4.84,4.87,1.85,2.11
27,4.84,4.9,1.83,2.11
28,4.87,4.94,1.7,2.14
29,4.82,5.0200000000000005,1.57,2.33
30,4.78,5.09,1.44,2.54
31,4.91,5.19,1.34,2.75
32,4.78,5.19,1.31,2.8000000000000003
33,4.76,5.14,1.23,2.85
34,4.75,5.19,1.24,2.77
35,4.74,5.2,1.28,2.8000000000000003
36,4.8100000000000005,5.24,1.18,2.66
37,5.33,5.33,1.18,2.67
38,5.3500000000000005,5.37,1.1300000000000001,2.59
39,5.13,5.43,1.12,2.63
40,5.05,5.47,1.1,2.68
41,5.03,5.49,1.07,2.66
42,5.0200000000000005,5.47,1.11,2.7800000000000002
43,5.0,5.46,1.08,2.7800000000000002
44,4.99,5.47,1.08,2.77
45,4.95,5.5,1.1400000000000001,2.7
