time_sec,time_nanosec,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
1713795736,251709592,619,614,131,189
1713795736,456086966,624,617,132,191
1713795736,656138026,621,613,131,188
1713795736,857128150,615,609,129,187
1713795737,49768494,624,615,133,188
1713795737,252603008,622,613,134,188
1713795737,455512968,617,614,126,187
1713795737,649489859,619,612,127,190
1713795737,851844089,612,611,129,190
1713795738,45440456,601,597,127,192
1713795738,248073468,584,584,126,191
1713795738,450685702,567,576,133,191
1713795738,644157482,561,563,135,187
1713795738,846376345,556,549,147,186
1713795739,46659720,547,537,140,195
1713795739,247891646,523,527,158,197
1713795739,440128452,512,509,160,209
1713795739,643434419,509,504,163,210
1713795739,844844854,509,507,166,208
1713795740,36892116,505,514,167,208
1713795740,240197830,506,529,168,200
1713795740,441615754,516,508,168,202
1713795740,634496355,543,500,171,204
1713795740,837242933,480,490,177,211
1713795741,38421388,485,488,188,205
1713795741,241043995,484,487,186,210
1713795741,434015976,484,487,185,211
1713795741,636208448,484,490,183,211
1713795741,829537906,487,494,170,214
1713795742,33440890,482,502,157,233
1713795742,235269216,478,509,144,254
1713795742,427585861,491,519,134,275
1713795742,633895210,478,519,131,280
1713795742,825900418,476,514,123,285
1713795743,29299501,475,519,124,277
1713795743,230116087,474,520,128,280
1713795743,430841747,481,524,118,266
1713795743,624444084,533,533,118,267
1713795743,826446268,535,537,113,259
1713795744,27297775,513,543,112,263
1713795744,227568077,505,547,110,268
1713795744,420073278,503,549,107,266
1713795744,623331062,502,547,111,278
1713795744,824960576,500,546,108,278
1713795745,17018436,499,547,108,277
1713795745,220678549,495,550,114,270
1713795745,420677007,498,545,106,272
1713795745,622217798,500,549,111,271
1713795745,814294337,494,538,110,282
1713795746,16978754,484,527,121,286
1713795746,218113912,464,514,138,292
1713795746,419159617,443,503,148,301
1713795746,613349263,430,483,176,315
1713795746,814707207,404,475,191,323
1713795747,15166392,389,457,201,338
1713795747,215951599,371,451,231,346
1713795747,408218964,354,433,248,361
1713795747,610651886,336,418,262,373
1713795747,813252368,323,407,279,388
1713795748,5712017,300,392,298,400
1713795748,209140661,295,378,316,411
1713795748,409360331,272,373,332,424
1713795748,610603657,264,361,344,436
1713795748,802726671,251,348,361,451
1713795749,5911522,238,335,381,464
1713795749,206833223,189,331,398,478
1713795749,407044047,183,305,414,496
1713795749,599542384,158,309,424,512
1713795749,802318181,144,298,444,521
1713795750,4059625,123,287,455,531
1713795750,196709352,120,288,458,531
1713795750,399311373,122,290,464,530
1713795750,600617252,119,284,474,542
1713795750,801619062,111,283,486,552
1713795750,993372547,100,272,485,558
1713795751,196963464,94,279,496,561
1713795751,397737764,86,280,494,565
1713795751,598789246,88,276,498,568
1713795751,792417887,84,281,497,566
1713795751,997564921,79,279,505,569
1713795752,193105255,83,279,506,568
1713795752,393418649,81,279,502,569
1713795752,594984383,79,283,498,576
1713795752,788354366,72,294,509,586
1713795752,989860647,75,299,507,587
1713795753,190483741,70,302,513,596
1713795753,384063117,76,301,513,594
1713795753,587497645,72,303,514,595
1713795753,789540611,76,304,515,602
1713795753,981826989,77,304,511,599
1713795754,186628261,72,290,520,595
1713795754,387205854,88,280,525,579
1713795754,581392831,93,265,527,581
1713795754,784443229,106,257,527,564
1713795754,984633142,117,253,530,573
1713795755,179199063,128,251,529,562
1713795755,380351116,147,211,536,555
1713795755,581049076,154,202,537,552
1713795755,783030017,171,181,541,546
1713795755,975858391,186,164,540,548
1713795756,177646097,198,146,547,537
1713795756,377978144,215,127,549,543
1713795756,578526417,247,116,563,534
1713795756,770811015,228,99,566,536
1713795756,974062260,238,84,573,533
1713795757,175396484,251,77,573,534
1713795757,367613352,252,75,575,533
1713795757,571116123,254,78,572,534
1713795757,773899331,246,81,579,533
1713795757,967545040,257,74,570,534
1713795758,169709281,253,78,576,534
1713795758,370979838,256,71,572,533
1713795758,563581803,260,75,588,529
1713795758,766489754,252,66,583,529
1713795758,969969707,256,73,584,534
1713795759,162561108,256,66,580,536
1713795759,364985103,263,67,580,539
1713795759,559950199,260,69,588,531
1713795759,762710361,261,71,591,535
1713795759,964608002,268,67,592,538
1713795760,157311200,266,65,594,530
1713795760,361006581,268,66,593,530
1713795760,561410434,272,64,594,537
1713795760,764007361,264,70,591,535
1713795760,957627306,263,68,597,531
1713795761,158638631,267,71,588,535
1713795761,351770137,265,68,593,530
1713795761,554891548,264,69,591,529
1713795761,756614750,270,75,584,525
1713795761,949992784,268,69,574,519
1713795762,152800825,275,84,569,504
1713795762,353772448,271,94,557,503
1713795762,547989560,277,100,539,486
1713795762,751176089,280,110,539,475
1713795762,953959850,288,113,523,455
1713795763,144794790,288,123,514,454
1713795763,347839665,300,140,509,440
1713795763,550667379,308,146,489,422
1713795763,744477457,304,164,481,416
1713795763,948262991,313,179,476,407
1713795764,148743533,317,191,465,396
1713795764,341092499,321,203,459,379
1713795764,543538545,330,214,448,364
1713795764,744629987,342,231,446,358
1713795764,945828296,345,248,433,347
1713795765,137130081,358,254,420,342
1713795765,340852503,368,264,407,331
1713795765,542783604,373,277,401,323
