,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
0,1713795735.813,0.0,0.0,-2.296168074595813,-0.007082057075588993,-0.06606106670771547,-1.339814323616895e-09,-4.545619189239203e-12,-4.2401303644284516e-11,0.0
1,1713795735.836,-0.00023385494807592669,-0.004737522701306283,-2.2961864317636453,-0.003085548519359083,-0.1399181640957448,-0.0007981363258504284,-1.7472633715169063e-12,-9.411605296401869e-11,-4.657118519709524e-13
2,1713795735.849,0.0001252235189600366,-0.01062065455446722,-2.2962068683867627,0.009117302487392696,-0.2022863738626145,-0.0007882965626643313,7.509211001344781e-12,-1.4142546738234343e-10,9.664118730837198e-12
3,1713795735.869,0.001954518950270676,-0.02192898798880844,-2.2962571221471184,0.03527094229664689,-0.25973077610361933,-0.0012053861431824426,2.8874123381388196e-11,-1.8835180839825072e-10,-2.0480288488546233e-09
4,1713795735.889,0.0049164534925725135,-0.03621622080523486,-2.296315697464622,0.05568013574539653,-0.3110204202170037,-0.001377826315716271,4.673727330784262e-11,-2.3324307784943384e-10,-5.3774785256981966e-09
5,1713795735.909,0.008275739557149806,-0.05279302081701797,-2.2963816127361154,0.06747266987383474,-0.3541037218691515,-0.0015190704487533138,5.7746785240351744e-11,-2.7346565583289143e-10,-1.314200791547531e-08
6,1713795735.932,0.012148033117353822,-0.07415987616196525,-2.296446785821798,0.0739310796213658,-0.3967767015367822,-0.0014687407523683747,6.415320599256619e-11,-3.157951259687706e-10,-6.538234411791208e-09
7,1713795735.952,0.01486231094300673,-0.09567730055560221,-2.2964822477732794,0.07218314692117722,-0.4373980968558793,-0.0012637309659499843,6.231735192927966e-11,-3.5845978549039557e-10,4.6928305086681126e-08
8,1713795735.972,0.01623214465246657,-0.12230686308464334,-2.2964996928159156,0.0626391835367357,-0.49484249902506644,-0.0010159344439864763,5.1736434928279975e-11,-4.221455339295194e-10,1.6176295616824135e-07
9,1713795735.993,0.017218951777564842,-0.15557224629005054,-2.296519897522979,0.053505537022231896,-0.5641861005275667,-0.0008682659346211938,4.107746743621186e-11,-5.030695321004077e-10,2.743222621660624e-07
10,1713795736.013,0.01662974313612067,-0.1931572819294935,-2.2965436540087047,0.03985839986973013,-0.6392741483541989,-0.0008048524367080715,2.4354944774894606e-11,-5.950786888089312e-10,3.4788699743282593e-07
11,1713795736.035,0.018359838966570802,-0.23749954336216503,-2.2965732777113925,0.039751734642542585,-0.7123106118236195,-0.0007742458722293376,2.421801859558494e-11,-6.888356145924135e-10,4.00135758442425e-07
12,1713795736.047,0.02092115011890004,-0.2719733504169591,-2.2965839342449503,0.046620461253153014,-0.7865780258511883,-0.000741029151257542,3.34361948795217e-11,-7.885062163464907e-10,4.728172905164782e-07
13,1713795736.068,0.025258535645730336,-0.3200767110255303,-2.296611761246575,0.05595109416762177,-0.8456636953747022,-0.0007271981987897261,4.650281567363662e-11,-8.712498034954843e-10,5.144412844786035e-07
14,1713795736.091,0.035901478039339935,-0.3747186584023157,-2.296652528659695,0.08497695198527758,-0.9022874636801027,-0.0007574761808825091,8.88442937439212e-11,-9.538497410236485e-10,3.932514792595041e-07
15,1713795736.113,0.04650176639936534,-0.42746709421130086,-2.2967074487781556,0.10784805679717319,-0.9457810820255105,-0.0008416605672293304,1.2354205339071063e-10,-1.0198339217937412e-09,-4.056723429483017e-08
16,1713795736.134,0.05521195633849525,-0.4811516332419985,-2.2967668822207568,0.12087154148891913,-0.9892747003501166,-0.000928473152628787,1.4405990621002987e-10,-1.0883559556397363e-09,-6.046209213423214e-07
17,1713795736.1455286,0.017805646197549957,-0.1749992023226244,-2.2967548410784357,4.115342094879182e-10,-3.3682070466056757e-09,-4.596507366445455e-05,7.353134882868604e-11,-5.111140622218075e-10,9.145155252909685e-06
